Date,Open,High,Low,Vol.,Change %,Price
5/8/2019,1287.40,1292.80,1280.20,302.69K,-0.33%,1281.4
5/7/2019,1284.10,1287.30,1279.10,251.09K,0.14%,1285.6
5/6/2019,1286.40,1286.40,1278.10,244.34K,0.20%,1283.8
5/3/2019,1272.90,1283.90,1269.00,280.32K,0.73%,1281.3
5/2/2019,1278.20,1278.40,1267.30,282.50K,-0.95%,1272
5/1/2019,1284.20,1289.40,1274.50,275.43K,-0.12%,1284.2
4/30/2019,1283.50,1288.20,1281.60,239.44K,0.33%,1285.7
4/29/2019,1287.00,1288.60,1279.90,208.96K,-0.57%,1281.5
4/26/2019,1280.10,1290.90,1276.00,278.89K,0.71%,1288.8
4/25/2019,1276.30,1284.80,1275.40,237.15K,0.02%,1279.7
4/24/2019,1272.30,1280.70,1270.50,246.05K,0.49%,1279.4
4/23/2019,1277.20,1278.50,1267.90,280.34K,-0.34%,1273.2
4/22/2019,1277.90,1281.90,1275.70,136.44K,0.13%,1277.6
4/18/2019,1276.30,1279.70,1273.00,229.63K,-0.06%,1276
4/17/2019,1278.70,1282.10,1275.20,223.36K,-0.03%,1276.8
4/16/2019,1290.00,1290.30,1275.50,326.51K,-1.09%,1277.2
4/15/2019,1293.20,1293.50,1285.30,232.99K,-0.30%,1291.3
4/12/2019,1296.80,1299.10,1293.20,192.49K,0.15%,1295.2
4/11/2019,1311.40,1312.10,1292.90,324.74K,-1.57%,1293.3
4/10/2019,1307.60,1314.70,1304.70,218.88K,0.43%,1313.9
4/9/2019,1303.20,1310.40,1301.10,200.34K,0.49%,1308.3
4/8/2019,1297.60,1307.90,1297.00,207.57K,0.49%,1301.9
4/5/2019,1295.80,1297.40,1288.30,231.45K,0.10%,1295.6
4/4/2019,1296.30,1298.70,1284.90,262.54K,-0.08%,1294.3
4/3/2019,1295.60,1299.00,1292.70,190.37K,-0.01%,1295.3
4/2/2019,1292.70,1297.10,1289.50,196.40K,0.09%,1295.4
4/1/2019,1295.90,1301.70,1291.00,236.66K,-0.33%,1294.2
3/29/2019,1296.30,1304.60,1291.30,270.18K,0.25%,1298.5
3/28/2019,1315.90,1317.60,1293.30,426.82K,-1.15%,1295.3
3/27/2019,1316.70,1318.80,1307.30,206.26K,-0.35%,1310.4
3/26/2019,1320.50,1321.90,1312.10,267.17K,-0.57%,1315
3/25/2019,1313.20,1324.50,1312.60,251.98K,0.78%,1322.6
3/22/2019,1308.20,1314.70,1307.00,271.38K,0.38%,1312.3
3/21/2019,1316.10,1320.20,1302.80,332.61K,0.43%,1307.3
3/20/2019,1304.30,1317.20,1298.10,370.40K,-0.37%,1301.7
3/19/2019,1304.80,1310.80,1303.40,206.90K,0.38%,1306.5
3/18/2019,1299.30,1306.70,1298.00,176.49K,-0.11%,1301.5
3/15/2019,1295.40,1306.30,1293.70,234.65K,0.60%,1302.9
3/14/2019,1308.10,1308.60,1292.50,248.21K,-1.08%,1295.1
3/13/2019,1303.70,1311.60,1303.40,214.24K,0.86%,1309.3
3/12/2019,1293.10,1302.60,1292.90,203.89K,0.54%,1298.1
3/11/2019,1298.50,1299.20,1290.60,196.86K,-0.63%,1291.1
3/8/2019,1286.80,1301.30,1286.50,283.84K,1.03%,1299.3
3/7/2019,1288.60,1289.60,1280.80,257.92K,-0.12%,1286.1
3/6/2019,1288.50,1291.80,1284.30,192.93K,0.23%,1287.6
3/5/2019,1288.50,1290.60,1282.00,216.93K,-0.22%,1284.7
3/4/2019,1297.40,1298.10,1283.80,268.39K,-0.90%,1287.5
3/1/2019,1315.90,1315.90,1291.30,343.47K,-1.28%,1299.2
2/28/2019,1319.60,1328.90,1314.00,252.24K,-0.39%,1316.1
2/27/2019,1331.00,1331.10,1318.40,198.04K,-0.55%,1321.2
2/26/2019,1329.90,1332.40,1325.50,185.56K,-0.08%,1328.5
2/25/2019,1332.70,1334.90,1327.30,181.78K,-0.25%,1329.5
2/22/2019,1327.20,1335.60,1323.80,241.80K,0.38%,1332.8
2/21/2019,1340.50,1343.70,1323.30,285.81K,-1.49%,1327.8
2/20/2019,1347.80,1349.80,1339.80,246.72K,0.23%,1347.9
2/19/2019,1325.00,1345.00,1323.80,348.64K,0.00%,1344.8
2/18/2019,1327.90,1345.00,1324.40,348.64K,1.72%,1344.8
2/15/2019,1314.70,1325.80,1314.30,200.28K,0.62%,1322.1
2/14/2019,1311.80,1317.40,1304.70,228.46K,-0.09%,1313.9
2/13/2019,1315.20,1321.70,1308.10,213.96K,0.08%,1315.1
2/12/2019,1311.40,1318.30,1310.70,146.45K,0.16%,1314
2/11/2019,1318.10,1318.70,1307.10,150.61K,-0.50%,1311.9
2/8/2019,1313.20,1319.50,1311.50,150.61K,0.33%,1318.5
2/7/2019,1308.10,1315.80,1306.40,166.76K,-0.02%,1314.2
2/6/2019,1317.60,1319.70,1309.60,137.25K,-0.36%,1314.4
2/5/2019,1317.10,1321.00,1314.80,129.01K,-0.01%,1319.2
2/4/2019,1319.60,1320.10,1312.70,159.56K,-0.21%,1319.3
2/1/2019,1323.00,1328.20,1320.60,200.00K,-0.23%,1322.1
1/31/2019,1323.00,1331.10,1322.60,224.75K,0.74%,1325.2
1/30/2019,1318.40,1328.60,1313.50,272.11K,0.50%,1315.5
1/29/2019,1302.20,1310.80,1302.00,213.61K,0.45%,1308.9
1/28/2019,1301.00,1303.70,1296.50,243.07K,0.39%,1303.1
1/25/2019,1279.20,1303.40,1278.90,303.84K,1.43%,1298.1
1/24/2019,1283.60,1283.60,1275.30,225.77K,-0.33%,1279.8
1/23/2019,1284.40,1286.00,1277.70,217.13K,-0.14%,1284
1/22/2019,1284.50,1287.20,1279.00,1.27K,0.19%,1285.8
1/21/2019,1282.40,1285.00,1276.00,318.85K,0.06%,1283.4
1/18/2019,1290.40,1292.00,1280.10,225.57K,-0.75%,1282.6
1/17/2019,1294.60,1295.00,1288.30,191.98K,-0.12%,1292.3
1/16/2019,1289.10,1295.40,1287.60,181.39K,0.42%,1293.8
1/15/2019,1293.10,1294.80,1286.50,242.07K,-0.22%,1288.4
1/14/2019,1292.70,1296.60,1288.60,221.89K,0.14%,1291.3
1/11/2019,1290.20,1295.70,1287.20,210.64K,0.16%,1289.5
1/10/2019,1293.60,1298.00,1286.70,239.92K,-0.36%,1287.4
1/9/2019,1287.00,1295.00,1280.90,245.97K,0.47%,1292
1/8/2019,1287.40,1288.40,1280.20,221.92K,-0.31%,1285.9
1/7/2019,1290.20,1297.00,1287.30,204.68K,0.32%,1289.9
1/4/2019,1298.90,1300.00,1278.10,316.06K,-0.70%,1285.8
1/3/2019,1290.40,1296.90,1286.40,244.54K,0.83%,1294.8
1/2/2019,1285.00,1291.00,1280.60,235.33K,0.22%,1284.1
12/31/2018,1280.90,1286.50,1279.70,113.26K,-0.13%,1281.3
12/28/2018,1280.10,1284.70,1278.20,162.73K,0.15%,1283
12/27/2018,1273.20,1281.60,1269.10,213.50K,0.64%,1281.1
12/26/2018,1273.50,1282.30,1267.40,208.54K,0.09%,1273
12/24/2018,1264.20,1273.90,1262.10,137.24K,1.09%,1271.8
12/21/2018,1264.60,1266.20,1257.10,212.78K,-0.77%,1258.1
12/20/2018,1248.50,1270.30,1247.10,318.24K,0.92%,1267.9
12/19/2018,1253.00,1262.20,1245.30,275.31K,0.22%,1256.4
12/18/2018,1251.10,1254.50,1249.00,171.59K,0.14%,1253.6
12/17/2018,1241.50,1252.20,1240.00,166.88K,0.84%,1251.8
12/14/2018,1246.90,1246.90,1236.50,194.65K,-0.48%,1241.4
12/13/2018,1250.00,1251.50,1244.40,158.85K,-0.21%,1247.4
12/12/2018,1250.60,1252.60,1247.10,157.07K,0.22%,1250
12/11/2018,1251.10,1255.10,1245.80,186.39K,-0.18%,1247.2
12/10/2018,1254.90,1255.80,1246.90,199.74K,-0.26%,1249.4
12/7/2018,1244.30,1255.80,1243.30,225.56K,0.72%,1252.6
12/6/2018,1245.70,1249.90,1240.00,248.86K,0.08%,1243.6
12/5/2018,1241.50,1244.60,1238.70,110.21K,-0.32%,1242.6
12/4/2018,1240.40,1247.50,1239.60,221.14K,0.56%,1246.6
12/3/2018,1228.60,1240.40,1228.50,247.72K,1.11%,1239.6
11/30/2018,1229.90,1231.10,1221.80,170.45K,-0.36%,1226
11/29/2018,1227.10,1234.90,1226.70,246.43K,0.56%,1230.4
11/28/2018,1214.30,1227.70,1210.50,247.17K,0.84%,1223.6
11/27/2018,1222.60,1225.20,1211.40,307.89K,-0.74%,1213.4
11/26/2018,1223.90,1228.60,1221.70,267.32K,-0.34%,1222.4
11/23/2018,1231.30,1232.60,1224.20,0.78K,0.28%,1226.6
11/22/2018,1227.80,1229.20,1220.30,240.35K,-0.39%,1223.2
11/21/2018,1222.40,1230.90,1220.10,227.21K,0.56%,1228
11/20/2018,1224.60,1229.50,1220.30,255.20K,-0.33%,1221.2
11/19/2018,1222.60,1226.50,1218.50,198.39K,0.19%,1225.3
11/16/2018,1214.40,1226.00,1213.70,242.04K,0.66%,1223
11/15/2018,1211.80,1217.00,1207.10,253.57K,0.40%,1215
11/14/2018,1202.80,1217.20,1198.10,277.87K,0.72%,1210.1
11/13/2018,1201.10,1205.50,1196.60,248.93K,-0.17%,1201.4
11/12/2018,1210.30,1212.00,1200.60,203.64K,-0.42%,1203.5
11/9/2018,1224.30,1224.60,1207.20,322.35K,-1.35%,1208.6
11/8/2018,1227.70,1228.50,1220.80,239.02K,-0.29%,1225.1
11/7/2018,1228.90,1238.40,1224.20,259.29K,0.20%,1228.7
11/6/2018,1233.40,1237.80,1224.90,199.67K,-0.49%,1226.3
11/5/2018,1234.50,1236.80,1228.40,159.43K,-0.08%,1232.3
11/2/2018,1235.30,1238.40,1231.30,256.02K,-0.43%,1233.3
11/1/2018,1216.60,1239.30,1216.10,313.45K,1.94%,1238.6
10/31/2018,1224.70,1225.00,1213.40,247.06K,-0.84%,1215
10/30/2018,1231.90,1232.50,1221.40,224.64K,-0.19%,1225.3
10/29/2018,1236.40,1237.60,1226.10,234.29K,-0.66%,1227.6
10/26/2018,1234.70,1246.00,1232.50,315.69K,0.28%,1235.8
10/25/2018,1236.60,1242.00,1230.50,259.68K,0.11%,1232.4
10/24/2018,1233.80,1238.00,1228.30,211.48K,-0.46%,1231.1
10/23/2018,1225.10,1243.00,1224.50,288.38K,1.00%,1236.8
10/22/2018,1230.50,1232.60,1222.80,187.23K,-0.33%,1224.6
10/19/2018,1228.60,1234.10,1226.20,191.80K,-0.11%,1228.7
10/18/2018,1225.50,1233.60,1221.70,243.11K,0.22%,1230.1
10/17/2018,1228.00,1232.90,1223.70,235.33K,-0.29%,1227.4
10/16/2018,1230.50,1235.90,1226.30,242.42K,0.06%,1231
10/15/2018,1221.20,1236.90,1220.40,291.57K,0.68%,1230.3
10/12/2018,1227.70,1228.10,1219.30,318.23K,-0.46%,1222
10/11/2018,1197.90,1230.00,1194.70,531.78K,2.87%,1227.6
10/10/2018,1192.70,1198.60,1188.50,248.56K,0.16%,1193.4
10/9/2018,1192.20,1195.80,1186.60,243.86K,0.24%,1191.5
10/8/2018,1206.70,1208.00,1186.00,320.10K,-1.41%,1188.6
10/5/2018,1203.70,1209.80,1200.90,255.48K,0.33%,1205.6
10/4/2018,1201.40,1210.70,1199.60,290.84K,-0.11%,1201.6
10/3/2018,1207.00,1212.30,1200.40,255.07K,-0.34%,1202.9
10/2/2018,1192.70,1212.30,1192.20,365.32K,1.28%,1207
10/1/2018,1196.10,1196.50,1188.10,220.51K,-0.38%,1191.7
9/28/2018,1186.80,1198.00,1184.30,307.82K,0.74%,1196.2
9/27/2018,1198.90,1202.60,1185.60,351.05K,-0.98%,1187.4
9/26/2018,1205.50,1206.90,1194.60,343.48K,-0.50%,1199.1
9/25/2018,1203.10,1207.90,1201.30,197.64K,0.06%,1205.1
9/24/2018,1204.00,1208.80,1198.60,214.29K,0.26%,1204.4
9/21/2018,1212.10,1215.80,1196.00,344.75K,-0.83%,1201.3
9/20/2018,1208.80,1213.20,1205.10,241.61K,0.25%,1211.3
9/19/2018,1202.80,1211.00,1202.20,233.87K,0.45%,1208.3
9/18/2018,1206.40,1208.20,1200.30,229.11K,-0.24%,1202.9
9/17/2018,1199.80,1209.70,1197.50,209.94K,0.39%,1205.8
9/14/2018,1206.60,1213.80,1197.70,282.26K,-0.59%,1201.1
9/13/2018,1212.40,1218.00,1205.00,304.35K,-0.22%,1208.2
9/12/2018,1203.50,1213.90,1197.60,304.32K,0.72%,1210.9
9/11/2018,1200.40,1204.80,1192.70,263.07K,0.20%,1202.2
9/10/2018,1200.70,1203.80,1196.20,213.40K,-0.05%,1199.8
9/7/2018,1205.60,1209.00,1198.70,287.65K,-0.32%,1200.4
9/6/2018,1202.50,1212.70,1200.50,284.20K,0.25%,1204.3
9/5/2018,1197.20,1204.20,1196.40,209.56K,0.39%,1201.3
9/4/2018,1201.80,1204.80,1193.30,0.06K,-0.21%,1196.6
9/3/2018,1207.00,1207.60,1195.10,421.47K,-0.63%,1199.1
8/31/2018,1206.30,1214.90,1204.10,265.11K,0.14%,1206.7
8/30/2018,1212.60,1214.00,1202.10,288.07K,-0.54%,1205
8/29/2018,1206.60,1213.70,1206.60,241.90K,-0.24%,1211.5
8/28/2018,1217.70,1220.70,1205.80,273.18K,-0.13%,1214.4
8/27/2018,1214.50,1218.80,1209.30,209.19K,0.22%,1216
8/24/2018,1191.60,1215.40,1189.50,293.98K,1.62%,1213.3
8/23/2018,1202.80,1203.40,1190.20,232.88K,-0.77%,1194
8/22/2018,1203.00,1208.40,1199.20,234.15K,0.28%,1203.3
8/21/2018,1197.30,1204.30,1194.30,218.29K,0.45%,1200
8/20/2018,1190.40,1197.70,1189.60,205.77K,0.88%,1194.6
8/17/2018,1180.70,1192.00,1178.50,255.79K,0.02%,1184.2
8/16/2018,1183.00,1189.00,1167.10,362.11K,-0.08%,1184
8/15/2018,1201.50,1202.00,1180.00,377.68K,-1.31%,1185
8/14/2018,1201.10,1205.80,1198.90,242.55K,0.15%,1200.7
8/13/2018,1218.40,1221.40,1198.60,374.12K,-1.65%,1198.9
8/10/2018,1220.00,1224.90,1213.10,328.24K,-0.07%,1219
8/9/2018,1222.00,1225.60,1218.40,232.04K,-0.09%,1219.9
8/8/2018,1218.70,1223.80,1213.60,263.24K,0.22%,1221
8/7/2018,1215.80,1224.30,1215.60,205.38K,0.05%,1218.3
8/6/2018,1222.00,1226.00,1214.40,199.54K,-0.45%,1217.7
8/3/2018,1216.00,1228.50,1212.50,280.21K,0.25%,1223.2
8/2/2018,1224.70,1230.00,1215.30,234.63K,-0.61%,1220.1
8/1/2018,1232.70,1233.70,1224.40,218.46K,-0.49%,1227.6
7/31/2018,1230.50,1237.80,1222.60,297.83K,0.17%,1233.6
7/30/2018,1231.10,1234.10,1227.80,183.75K,-0.10%,1231.5
7/27/2018,1231.40,1236.50,1226.30,156.04K,0.57%,1232.7
7/26/2018,1231.70,1235.30,1221.70,285.61K,-0.50%,1225.7
7/25/2018,1224.20,1234.30,1223.20,272.25K,0.51%,1231.8
7/24/2018,1224.40,1229.70,1218.10,299.06K,-0.01%,1225.5
7/23/2018,1231.70,1235.20,1222.20,333.33K,-0.45%,1225.6
7/20/2018,1222.90,1232.40,1215.30,355.23K,0.58%,1231.1
7/19/2018,1227.30,1229.60,1210.70,428.88K,-0.32%,1224
7/18/2018,1227.00,1229.10,1220.90,283.98K,0.05%,1227.9
7/17/2018,1240.80,1245.10,1225.90,318.22K,-1.00%,1227.3
7/16/2018,1241.00,1245.80,1238.30,186.30K,-0.12%,1239.7
7/13/2018,1247.70,1248.50,1236.20,257.31K,-0.43%,1241.2
7/12/2018,1242.30,1248.80,1241.40,220.96K,0.18%,1246.6
7/11/2018,1256.70,1257.30,1241.70,299.64K,-0.88%,1244.4
7/10/2018,1258.50,1261.00,1247.70,272.63K,-0.33%,1255.4
7/9/2018,1255.70,1266.90,1255.70,238.97K,0.30%,1259.6
7/6/2018,1258.40,1260.20,1253.70,200.19K,-0.47%,1255.8
7/5/2018,1257.80,1263.60,1256.90,0.14K,0.23%,1261.7
7/4/2018,1257.70,1261.00,1252.20,392.95K,0.42%,1258.8
7/3/2018,1242.90,1258.50,1238.80,297.34K,0.95%,1253.5
7/2/2018,1253.40,1255.60,1240.60,262.87K,-1.02%,1241.7
6/29/2018,1249.50,1257.10,1246.90,226.20K,0.28%,1254.5
6/28/2018,1253.60,1255.80,1247.20,241.82K,-0.41%,1251
6/27/2018,1260.50,1261.90,1252.20,256.90K,-0.30%,1256.1
6/26/2018,1267.30,1269.40,1256.40,254.01K,-0.71%,1259.9
6/25/2018,1272.20,1274.40,1265.50,201.57K,-0.14%,1268.9
6/22/2018,1268.60,1273.10,1268.40,184.22K,0.02%,1270.7
6/21/2018,1269.70,1272.30,1262.40,281.81K,-0.31%,1270.5
6/20/2018,1277.30,1278.60,1269.60,233.18K,-0.32%,1274.5
6/19/2018,1280.70,1286.80,1272.60,289.57K,-0.12%,1278.6
6/18/2018,1281.10,1284.90,1279.50,195.74K,0.13%,1280.1
6/15/2018,1303.10,1313.00,1277.90,525.96K,-2.28%,1278.5
6/14/2018,1303.10,1313.00,1301.00,347.19K,0.54%,1308.3
6/13/2018,1299.60,1305.20,1294.50,263.84K,0.15%,1301.3
6/12/2018,1304.50,1304.80,1296.30,236.39K,-0.29%,1299.4
6/11/2018,1303.50,1307.00,1297.80,211.58K,0.04%,1303.2
6/8/2018,1301.30,1304.80,1296.00,217.65K,-0.02%,1302.7
6/7/2018,1300.90,1307.80,1299.00,259.65K,0.12%,1303
6/6/2018,1300.60,1306.10,1297.70,252.05K,-0.06%,1301.4
6/5/2018,1296.40,1304.80,1293.50,271.29K,0.38%,1302.2
6/4/2018,1296.70,1302.30,1293.80,215.33K,-0.15%,1297.3
6/1/2018,1303.00,1304.80,1293.10,318.57K,-0.41%,1299.3
5/31/2018,1306.00,1311.50,1301.00,315.14K,-0.14%,1304.7
5/30/2018,1303.10,1308.80,1300.00,338.85K,0.38%,1306.5
5/29/2018,1302.80,1309.00,1294.70,2.24K,0.20%,1301.6
5/28/2018,1297.20,1306.10,1291.40,386.33K,-0.36%,1299
5/25/2018,1304.00,1307.20,1299.40,292.91K,-0.05%,1303.7
5/24/2018,1293.30,1306.40,1292.20,432.42K,1.15%,1304.4
5/23/2018,1290.60,1298.40,1286.70,402.34K,-0.19%,1289.6
5/22/2018,1292.30,1296.00,1287.20,291.72K,0.09%,1292
5/21/2018,1290.30,1292.70,1281.20,328.02K,-0.03%,1290.9
5/18/2018,1290.00,1293.70,1285.10,264.43K,0.15%,1291.3
5/17/2018,1290.20,1294.00,1284.00,298.82K,-0.16%,1289.4
5/16/2018,1290.10,1296.40,1285.70,333.61K,0.09%,1291.5
5/15/2018,1313.20,1314.70,1288.20,485.20K,-2.12%,1290.3
5/14/2018,1318.30,1322.40,1312.80,241.23K,-0.19%,1318.2
5/11/2018,1321.80,1326.30,1317.00,263.47K,-0.12%,1320.7
5/10/2018,1312.80,1323.40,1310.60,373.54K,0.71%,1322.3
5/9/2018,1315.30,1317.80,1304.20,384.04K,-0.05%,1313
5/8/2018,1314.10,1318.50,1306.20,407.41K,-0.03%,1313.7
5/7/2018,1316.30,1320.10,1310.60,235.29K,-0.05%,1314.1
5/4/2018,1312.80,1316.90,1308.50,308.48K,0.15%,1314.7
5/3/2018,1305.50,1319.00,1305.20,306.72K,0.54%,1312.7
5/2/2018,1304.40,1314.90,1304.30,370.24K,-0.09%,1305.6
5/1/2018,1316.00,1317.40,1302.30,283.43K,-0.94%,1306.8
4/30/2018,1324.00,1325.90,1310.70,295.96K,-0.32%,1319.2
4/27/2018,1318.00,1326.40,1315.80,241.65K,0.42%,1323.4
4/26/2018,1324.20,1328.00,1316.20,295.69K,-0.37%,1317.9
4/25/2018,1332.00,1333.80,1320.20,269.90K,-0.77%,1322.8
4/24/2018,1326.10,1334.50,1323.60,277.65K,0.68%,1333
4/23/2018,1336.20,1337.60,1323.80,294.25K,-1.07%,1324
4/20/2018,1348.50,1348.90,1337.00,282.92K,-0.78%,1338.3
4/19/2018,1352.40,1357.70,1343.20,342.54K,-0.35%,1348.8
4/18/2018,1350.40,1359.00,1345.00,311.37K,0.30%,1353.5
4/17/2018,1349.10,1352.20,1340.20,276.63K,-0.09%,1349.5
4/16/2018,1349.80,1353.50,1342.80,269.55K,0.21%,1350.7
4/13/2018,1337.60,1350.30,1335.50,265.40K,0.45%,1347.9
4/12/2018,1356.30,1356.70,1336.70,397.62K,-1.33%,1341.9
4/11/2018,1343.10,1369.40,1342.50,492.04K,1.05%,1360
4/10/2018,1339.80,1346.20,1334.20,285.18K,0.43%,1345.9
4/9/2018,1338.00,1341.50,1330.10,228.81K,0.30%,1340.1
4/6/2018,1329.70,1339.10,1322.60,373.57K,0.57%,1336.1
4/5/2018,1337.10,1338.70,1326.00,280.40K,-0.87%,1328.5
4/4/2018,1336.70,1352.50,1335.20,351.03K,0.22%,1340.2
4/3/2018,1345.00,1346.60,1332.70,288.39K,-0.71%,1337.3
4/2/2018,1330.70,1349.20,1329.00,254.66K,1.48%,1346.9
3/29/2018,1329.30,1332.60,1325.40,251.25K,0.23%,1327.3
3/28/2018,1345.00,1346.40,1322.40,59.28K,-1.33%,1324.2
3/27/2018,1353.60,1356.80,1339.60,290.89K,-0.96%,1342
3/26/2018,1347.00,1356.00,1343.40,346.05K,0.38%,1355
3/23/2018,1329.00,1350.40,1328.90,454.13K,1.70%,1349.9
3/22/2018,1332.00,1335.00,1324.60,358.56K,0.45%,1327.4
3/21/2018,1310.60,1336.90,1309.50,470.29K,0.73%,1321.5
3/20/2018,1316.50,1318.10,1306.60,292.33K,-0.45%,1311.9
3/19/2018,1312.90,1319.60,1307.40,300.47K,0.42%,1317.8
3/16/2018,1316.80,1321.80,1309.50,289.60K,-0.42%,1312.3
3/15/2018,1324.70,1328.10,1314.90,257.89K,-0.59%,1317.8
3/14/2018,1326.70,1330.50,1321.70,252.58K,-0.11%,1325.6
3/13/2018,1323.30,1328.80,1313.80,330.26K,0.48%,1327.1
3/12/2018,1324.10,1325.00,1315.30,220.36K,-0.24%,1320.8
3/9/2018,1322.70,1325.90,1313.20,345.32K,0.17%,1324
3/8/2018,1326.20,1329.80,1319.60,252.83K,-0.44%,1321.7
3/7/2018,1339.50,1342.00,1323.00,305.08K,-0.57%,1327.6
3/6/2018,1321.00,1339.90,1320.80,285.92K,1.16%,1335.2
3/5/2018,1324.90,1328.90,1318.30,221.22K,-0.26%,1319.9
3/2/2018,1318.00,1326.60,1316.20,264.39K,1.39%,1323.4
3/1/2018,1319.30,1322.30,1303.60,421.74K,-0.96%,1305.2
2/28/2018,1318.90,1323.70,1316.70,263.80K,-0.05%,1317.9
2/27/2018,1334.70,1338.40,1314.40,334.72K,-1.07%,1318.6
2/26/2018,1330.40,1342.90,1328.00,247.24K,0.19%,1332.8
2/23/2018,1333.70,1334.20,1327.70,167.85K,-0.18%,1330.3
2/22/2018,1326.20,1334.40,1322.90,206.24K,0.05%,1332.7
2/21/2018,1331.20,1338.50,1324.40,255.62K,0.07%,1332.1
2/20/2018,1350.20,1354.00,1330.60,374.05K,0.00%,1331.2
2/19/2018,1350.20,1354.00,1330.60,374.05K,-1.84%,1331.2
2/16/2018,1356.60,1364.40,1347.30,230.90K,0.07%,1356.2
2/15/2018,1353.00,1359.80,1350.80,274.93K,-0.20%,1355.3
2/14/2018,1331.90,1358.60,1319.10,431.72K,2.07%,1358
2/13/2018,1325.00,1333.50,1323.70,201.43K,0.30%,1330.4
2/12/2018,1317.10,1330.00,1316.30,208.07K,0.81%,1326.4
2/9/2018,1321.00,1325.00,1313.20,317.67K,-0.25%,1315.7
2/8/2018,1320.70,1324.50,1309.00,365.93K,0.33%,1319
2/7/2018,1326.60,1334.80,1313.50,351.23K,-1.12%,1314.6
2/6/2018,1343.10,1349.30,1322.80,473.35K,-0.52%,1329.5
2/5/2018,1334.60,1344.80,1331.60,305.68K,-0.06%,1336.5
2/2/2018,1352.20,1353.30,1330.10,431.41K,-0.79%,1337.3
2/1/2018,1348.20,1354.30,1340.20,310.50K,0.36%,1347.9
1/31/2018,1341.80,1351.00,1335.50,377.14K,0.23%,1343.1
1/30/2018,1344.00,1352.50,1337.50,412.52K,-0.02%,1340
1/29/2018,1349.00,1351.40,1336.10,280.55K,-0.87%,1340.3
1/26/2018,1346.40,1356.00,1343.70,341.96K,-0.79%,1352.1
1/25/2018,1357.00,1365.40,1341.00,537.66K,0.49%,1362.9
1/24/2018,1341.40,1361.60,1339.10,505.63K,1.47%,1356.3
1/23/2018,1333.00,1341.50,1330.70,370.17K,0.36%,1336.7
1/22/2018,1334.00,1335.80,1328.00,337.48K,-0.09%,1331.9
1/19/2018,1327.00,1338.20,1326.60,275.30K,0.44%,1333.1
1/18/2018,1327.40,1333.30,1324.30,312.11K,-0.90%,1327.2
1/17/2018,1339.00,1344.50,1326.60,365.87K,-0.01%,1339.2
1/16/2018,1339.20,1346.50,1335.00,0.46K,0.16%,1339.3
1/15/2018,1337.30,1345.00,1332.10,499.76K,0.16%,1337.1
1/12/2018,1323.60,1340.00,1320.80,365.20K,0.94%,1334.9
1/11/2018,1317.50,1324.70,1316.10,264.30K,0.24%,1322.5
1/10/2018,1313.30,1328.60,1308.90,391.66K,0.43%,1319.3
1/9/2018,1321.20,1321.40,1309.50,333.53K,-0.51%,1313.7
1/8/2018,1321.80,1323.00,1315.70,246.09K,-0.14%,1320.4
1/5/2018,1324.40,1324.70,1314.60,330.23K,0.05%,1322.3
1/4/2018,1315.50,1327.30,1307.10,369.85K,0.24%,1321.6
1/3/2018,1319.00,1323.00,1308.90,353.46K,0.18%,1318.5
1/2/2018,1305.30,1320.40,1304.60,279.73K,0.52%,1316.1
12/29/2017,1297.50,1309.80,1296.10,241.27K,0.93%,1309.3
12/28/2017,1292.00,1297.30,1290.50,225.66K,0.45%,1297.2
12/27/2017,1287.80,1293.20,1286.00,205.80K,0.30%,1291.4
12/26/2017,1279.00,1288.40,1277.70,134.62K,0.68%,1287.5
12/22/2017,1270.30,1280.40,1268.40,193.03K,0.65%,1278.8
12/21/2017,1268.80,1272.50,1266.00,196.54K,0.08%,1270.6
12/20/2017,1264.80,1271.40,1264.40,205.62K,0.43%,1269.6
12/19/2017,1265.40,1268.60,1262.30,206.59K,-0.10%,1264.2
12/18/2017,1257.80,1267.00,1255.30,214.22K,0.64%,1265.5
12/15/2017,1255.50,1264.50,1255.20,246.11K,0.03%,1257.5
12/14/2017,1258.10,1261.60,1252.80,264.71K,0.68%,1257.1
12/13/2017,1246.30,1259.70,1242.30,324.22K,0.56%,1248.6
12/12/2017,1243.90,1247.90,1238.30,232.77K,-0.42%,1241.7
12/11/2017,1249.20,1253.40,1242.40,194.38K,-0.12%,1246.9
12/8/2017,1249.50,1254.40,1244.40,277.06K,-0.38%,1248.4
12/7/2017,1265.20,1266.80,1245.80,326.47K,-1.03%,1253.1
12/6/2017,1268.30,1271.80,1264.80,253.05K,0.09%,1266.1
12/5/2017,1279.10,1279.80,1263.20,334.83K,-1.00%,1264.9
12/4/2017,1277.60,1280.50,1273.50,262.07K,-0.36%,1277.7
12/1/2017,1277.90,1292.50,1274.20,438.93K,0.44%,1282.3
11/30/2017,1286.90,1288.40,1273.10,354.08K,-0.74%,1276.7
11/29/2017,1298.00,1300.40,1285.10,392.06K,-0.67%,1286.2
11/28/2017,1293.90,1297.00,1290.10,275.44K,0.04%,1294.9
11/27/2017,1288.00,1299.00,1286.20,321.35K,0.40%,1294.4
11/24/2017,1292.80,1295.00,1287.20,0.66K,0.15%,1289.2
11/23/2017,1291.90,1293.30,1285.10,347.03K,-0.38%,1287.3
